Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5222	0.4889	0.5217	0.5909
2	0.4889	0.2444	0.6957	0.7727
3	0.2556	0.1111	0.3478	0.4545
4	0.6778	0.6444	0.5217	0.9091
5	0.4000	0.3556	0.2381	0.6250
6	0.3556	0.2667	0.5000	0.3810
7	0.7222	0.5333	0.8696	0.9545
8	0.4556	0.2667	0.6818	0.6087
9	0.2556	0.0667	0.5000	0.3810
10	0.4889	0.4000	0.5833	0.5714
11	0.4000	0.2889	0.6522	0.3636
12	0.3556	0.2444	0.9048	0.0833
13	0.5000	0.2444	0.8696	0.6364
14	0.5556	0.5778	0.2727	0.7826
15	0.7889	0.8444	0.5652	0.9091
16	0.5333	0.4222	0.8182	0.4783
17	0.4778	0.4000	0.6957	0.4091
18	0.3444	0.3778	0.1364	0.4783
19	0.5333	0.3778	0.4783	0.9091
20	0.4778	0.4667	0.6522	0.3182
21	0.3333	0.1556	0.2083	0.8571
22	0.4889	0.4889	0.3636	0.6087
23	0.5222	0.4222	0.6364	0.6087
24	0.2556	0.0667	0.3636	0.5217
25	0.6333	0.6667	0.5455	0.6522
26	0.3889	0.3333	0.5833	0.2857
27	0.3778	0.2222	0.3913	0.6818
28	0.5333	0.5111	0.6818	0.4348
29	0.8222	0.6444	1.0000	1.0000
30	0.3778	0.1333	0.9583	0.2381
31	0.4889	0.2222	0.7727	0.7391
32	0.7333	0.7111	0.5714	0.9167
33	0.6000	0.4000	0.7826	0.8182
34	0.7273	0.5556	0.8095	1.0000
35	0.6333	0.5778	0.8182	0.5652
36	0.4333	0.4889	0.3478	0.4091
37	0.3523	0.3556	0.5909	0.0952
38	0.3778	0.2667	0.5652	0.4091
39	0.4556	0.4667	0.2174	0.6818
40	0.4222	0.5333	0.1905	0.4167
41	0.5056	0.5111	0.8696	0.0952
42	0.6222	0.5778	0.8636	0.4783
43	0.7222	0.6667	0.9130	0.6364
44	0.5333	0.4667	0.7273	0.4783
45	0.7000	0.7111	0.9130	0.4545
46	0.3222	0.1111	0.7826	0.2727
47	0.2889	0.1333	0.3750	0.5238
48	0.5889	0.4000	0.6818	0.8696
49	0.7111	0.8222	0.3478	0.8636
50	0.5000	0.5778	0.5217	0.3182
51	0.3889	0.3556	0.4583	0.3810
52	0.6778	0.5111	0.7917	0.9048
53	0.4111	0.1556	0.6364	0.6957
54	0.6556	0.6444	0.7391	0.5909
55	0.6556	0.5111	0.7826	0.8182
56	0.4556	0.1778	0.5909	0.8696
57	0.3778	0.2444	0.4167	0.6190
58	0.4333	0.3333	0.5417	0.5238
59	0.4556	0.5111	0.2083	0.6190
60	0.6778	0.4889	0.7826	0.9545
61	0.5556	0.4889	0.6364	0.6087
62	0.8889	0.8444	1.0000	0.8636
63	0.2778	0.2000	0.5455	0.1739
64	0.4270	0.3333	0.2174	0.8571
65	0.4222	0.1778	0.5417	0.8095
66	0.2667	0.2222	0.2727	0.3478
67	0.3667	0.2667	0.5455	0.3913
68	0.5111	0.4000	0.6818	0.5652
69	0.5889	0.6667	0.4167	0.6190
70	0.6000	0.4000	0.8182	0.7826
71	0.6333	0.5111	0.9091	0.6087
72	0.7045	0.4889	0.8636	1.0000
73	0.5287	0.5556	0.1429	0.8571
74	0.3750	0.2667	0.4545	0.5238
75	0.6333	0.4889	0.8182	0.7391
76	0.2759	0.2000	0.6190	0.0952
77	0.3889	0.4667	0.2857	0.3333
78	0.3333	0.3111	0.2609	0.4545
79	0.3778	0.3556	0.5455	0.2609
80	0.5333	0.4444	0.6957	0.5455
81	0.3444	0.5111	0.3636	0.0000
82	0.4667	0.2889	0.6087	0.6818
83	0.6111	0.6444	0.8182	0.3478
84	0.4889	0.2222	0.8261	0.6818
85	0.8000	0.7778	0.7826	0.8636
86	0.4333	0.2000	0.5455	0.7826
87	0.4111	0.1778	0.5909	0.6957
89	0.5556	0.6000	0.2917	0.7619
90	0.4222	0.2667	0.6364	0.5217
91	0.4111	0.2000	0.7727	0.4783
93	0.6333	0.4667	0.9130	0.6818
94	0.5222	0.5111	0.5909	0.4783
95	0.5111	0.4444	0.6522	0.5000
96	0.4222	0.4000	0.2609	0.6364
97	0.4667	0.6444	0.5652	0.0000
98	0.4333	0.3556	0.8696	0.1364
99	0.2333	0.0889	0.2727	0.4783
101	0.3889	0.3111	0.7273	0.2174
102	0.6092	0.4222	0.7143	0.9048
103	0.4556	0.3778	0.7727	0.3043
105	0.5556	0.5556	0.4783	0.6364
106	0.4222	0.2222	0.7500	0.4762
107	0.4111	0.1556	0.6250	0.7143
108	0.4667	0.2667	0.6364	0.6957
