cluster   0   1   2   3   4
subject                    
1        10   3  28   1   3
2         2   2  41   0   0
3        33  10   0   0   2
4        22   0  23   0   0
5        36   0   9   0   0
6         0  44   1   0   0
7         0   0   0   0  45
8        35   8   0   0   2
9         0  24  21   0   0
10       14   0   0  10  21
11        0  36   0   0   9
12        0  45   0   0   0
13        0  45   0   0   0
14        7   0   0   7  31
15        0  33   0   0  12
16        1  44   0   0   0
17        0  31  14   0   0
18       23  20   0   0   2
19        0  34  11   0   0
20        6   0  19  20   0
21        0  35   0   0  10
22       45   0   0   0   0
23        0  30   8   2   5
24        0  45   0   0   0
25        0  44   0   1   0
26        0  39   6   0   0
27       26   0  15   2   2
28        1   0   1  43   0
29        0   0   0   4  41
30        0   8   0   0  37
31        0   0   0   1  44
32        0   0  45   0   0
33        0   6   1  35   3
34        0   0   0  45   0
35       38   0   0   3   4
36        0  44   0   0   1
37       44   1   0   0   0
38       15  13  16   0   1
39       31   0  13   1   0
40       41   0   4   0   0
41        0   4   0  41   0
42        8   0   0   0  37
43        6   0  39   0   0
44        0   2   1   4  38
45        0   2  41   2   0
46        1   2  42   0   0
47        0   6   0   0  39
48        0   0   0   8  37
49        0  27  18   0   0
50        0  44   1   0   0
51       22   0  23   0   0
52        2   0   0  43   0
53        0  44   1   0   0
54        0   0   0  45   0
55        9  11   1   0  24
56        0  17   0   0  28
57        0   3  42   0   0
58        0  43   2   0   0
59        5   4   3  13  20
60        1   0  44   0   0
61        4  38   2   0   1
62        0   0   0  33  12
63        0  12  33   0   0
64        3  25   7   0  10
65        9   1   0   0  35
66        1   5   0   5  34
67        0   8  37   0   0
68       30   0  15   0   0
69        0   0  45   0   0
70        0   0   0   0  45
71       24   2  16   3   0
72        0   0   6  39   0
73        0  15  30   0   0
74        0  42   1   0   2
75       44   0   0   1   0
76        0  44   0   0   1
77        3   1   0  25  16
78       22   0   0   3  20
79       25   7   1   9   3
80       25  16   4   0   0
81        0   0   0   0  45
82        0   0   1  38   6
83        0  35   8   1   1
84        3   0   0  42   0
85       42   0   0   3   0
86        0  39   0   0   6
87        0  19  26   0   0
89        0   7  38   0   0
90       33   0   2   4   6
91        0  31  13   0   1
93        0   0   6  36   3
94       43   0   0   1   1
95       25   0  20   0   0
96        7  18  10   0  10
97       44   0   1   0   0
98        0   7   0  10  28
99        0  43   0   0   2
101      43   0   1   1   0
102       6   0  39   0   0
103      18   0   3  11  13
105       0   0   1   8  36
106       3   0   0  26  16
107       0   9   0   0  36
108       0  25   0   2  18
