Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5000	0.2667	0.6087	0.8636
3	0.2889	0.2444	0.3478	0.3182
7	0.6444	0.3556	0.8696	1.0000
10	0.6111	0.5556	0.7917	0.5238
14	0.3444	0.1778	0.2273	0.7826
20	0.4556	0.4000	0.5652	0.4545
23	0.4333	0.2889	0.1818	0.9565
27	0.4333	0.4000	0.4783	0.4545
28	0.4778	0.4889	0.6364	0.3043
29	0.6222	0.2889	0.9130	1.0000
31	0.3889	0.0667	0.6364	0.7826
33	0.5444	0.3111	1.0000	0.5455
34	0.7159	0.4667	1.0000	0.9545
35	0.5111	0.4889	1.0000	0.0870
38	0.3333	0.2000	0.3913	0.5455
39	0.4111	0.5111	0.2174	0.4091
41	0.3596	0.2000	0.8261	0.1905
42	0.6222	0.6222	0.8182	0.4348
44	0.5111	0.3333	0.7727	0.6087
48	0.6000	0.4222	0.7273	0.8261
52	0.7111	0.6000	0.8333	0.8095
54	0.6111	0.5778	0.6087	0.6818
55	0.7000	0.4444	1.0000	0.9091
56	0.4556	0.2444	0.5909	0.7391
59	0.4000	0.3111	0.2500	0.7619
62	0.8444	0.6889	1.0000	1.0000
64	0.3483	0.1778	0.1304	0.9524
65	0.4333	0.1111	0.7500	0.7619
66	0.2222	0.1556	0.3636	0.2174
70	0.6000	0.3333	0.8636	0.8696
71	0.6000	0.4667	0.9545	0.5217
72	0.7500	0.5556	1.0000	0.9048
75	0.6111	0.4667	0.6818	0.8261
77	0.3556	0.2444	0.6190	0.3333
78	0.3222	0.2444	0.1739	0.6364
79	0.3556	0.3333	0.5000	0.2609
82	0.5111	0.3556	0.5652	0.7727
84	0.4444	0.2444	0.5652	0.7273
85	0.7556	0.6889	0.6957	0.9545
90	0.3778	0.3111	0.5000	0.3913
93	0.6667	0.5778	0.9130	0.5909
94	0.5667	0.5333	0.6364	0.5652
96	0.3667	0.1778	0.6522	0.4545
98	0.4333	0.3111	0.7826	0.3182
103	0.4333	0.3333	0.7727	0.3043
105	0.5333	0.4444	0.6957	0.5455
106	0.4000	0.2444	0.7917	0.2857
107	0.4111	0.2444	0.5417	0.6190
