Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5889	0.6000	0.5217	0.6364
2	0.6111	0.6444	0.4783	0.6818
3	0.3444	0.3556	0.4348	0.2273
4	0.7556	0.8667	0.3478	0.9545
5	0.5000	0.5778	0.0476	0.7500
6	0.4222	0.5333	0.1667	0.4762
7	0.8000	0.7556	0.7391	0.9545
8	0.6111	0.6222	0.5455	0.6522
9	0.3333	0.2889	0.3750	0.3810
10	0.6444	0.6222	0.7083	0.6190
11	0.5556	0.6000	0.7391	0.2727
12	0.5778	0.5333	0.6190	0.6250
13	0.5667	0.4889	0.8261	0.4545
14	0.4778	0.4667	0.1364	0.8261
15	0.8333	0.9556	0.5217	0.9091
16	0.6111	0.6667	0.5909	0.5217
17	0.5556	0.5778	0.7826	0.2727
18	0.4111	0.6222	0.0455	0.3478
19	0.6556	0.6000	0.6957	0.7273
20	0.5778	0.6667	0.7391	0.2273
21	0.5000	0.4889	0.2083	0.8571
22	0.6000	0.6667	0.3636	0.6957
23	0.5778	0.4667	0.5909	0.7826
24	0.3222	0.1556	0.5000	0.4783
25	0.7222	0.8444	0.4545	0.7391
26	0.4667	0.4889	0.5833	0.2857
27	0.5000	0.5333	0.3913	0.5455
28	0.6111	0.6889	0.4545	0.6087
29	0.8556	0.8222	0.7826	1.0000
30	0.4556	0.2667	0.9167	0.3333
31	0.5667	0.4222	0.6364	0.7826
32	0.8111	0.8444	0.9048	0.6667
33	0.5667	0.4222	0.6087	0.8182
34	0.7614	0.5556	1.0000	0.9545
35	0.6111	0.6444	1.0000	0.1739
36	0.5889	0.8000	0.4348	0.3182
37	0.4318	0.6667	0.3636	0.0000
38	0.4111	0.2889	0.6957	0.3636
39	0.4111	0.5111	0.3043	0.3182
40	0.4889	0.6889	0.2381	0.3333
41	0.4607	0.4222	0.7826	0.1905
42	0.6667	0.7333	0.8636	0.3478
43	0.6889	0.7111	0.9130	0.4091
44	0.6333	0.6667	0.7273	0.4783
45	0.7778	0.8222	0.7826	0.6818
46	0.4333	0.3333	0.7826	0.2727
47	0.4222	0.4000	0.3333	0.5714
48	0.6778	0.6444	0.8182	0.6087
49	0.6444	0.9778	0.1304	0.5000
50	0.6000	0.6667	0.7826	0.2727
51	0.4778	0.6222	0.3750	0.2857
52	0.7333	0.6889	0.7917	0.7619
53	0.3889	0.2000	0.7273	0.4348
54	0.6889	0.8000	0.8261	0.3182
55	0.8556	0.8444	0.7826	0.9545
56	0.5556	0.4000	0.8182	0.6087
57	0.4889	0.6222	0.1667	0.5714
58	0.4778	0.4000	0.6667	0.4286
59	0.3667	0.4444	0.1667	0.4286
60	0.6667	0.5333	0.6522	0.9545
61	0.6000	0.4889	0.6818	0.7391
62	0.8000	0.6667	1.0000	0.8636
63	0.4000	0.4000	0.5000	0.3043
64	0.4944	0.3778	0.5652	0.6667
65	0.4889	0.4222	0.4167	0.7143
66	0.2667	0.3333	0.1818	0.2174
67	0.3222	0.4889	0.2273	0.0870
68	0.5556	0.6000	0.6364	0.3913
69	0.6333	0.7778	0.3750	0.6190
70	0.5333	0.4444	0.6818	0.5652
71	0.6778	0.5111	0.9091	0.7826
72	0.8068	0.6889	1.0000	0.8571
73	0.6782	0.8000	0.4762	0.6190
74	0.4091	0.3778	0.3182	0.5714
75	0.6667	0.5556	0.6364	0.9130
76	0.2874	0.3111	0.3333	0.1905
77	0.4778	0.6222	0.6190	0.0833
78	0.3333	0.4000	0.1739	0.3636
79	0.4222	0.5778	0.3182	0.2174
80	0.6778	0.6667	0.6957	0.6818
81	0.4111	0.5333	0.5909	0.0000
82	0.5667	0.5556	0.4348	0.7273
83	0.6444	0.7333	0.7273	0.3913
84	0.4556	0.3333	0.4783	0.6818
85	0.8222	0.8222	0.7391	0.9091
86	0.5000	0.3778	0.4091	0.8261
87	0.2889	0.2222	0.2273	0.4783
89	0.5889	0.8889	0.3750	0.1905
90	0.5222	0.5556	0.5455	0.4348
91	0.4556	0.4444	0.5455	0.3913
93	0.6889	0.6222	0.9565	0.5455
94	0.6222	0.6667	0.4091	0.7391
95	0.4889	0.4222	0.4783	0.6364
96	0.5444	0.5778	0.3478	0.6818
97	0.4333	0.7333	0.2174	0.0455
98	0.5333	0.5111	0.6957	0.4091
99	0.3222	0.2667	0.1364	0.6087
101	0.3889	0.3556	0.7727	0.0870
102	0.7241	0.6444	0.9048	0.7143
103	0.5444	0.4889	0.8182	0.3913
105	0.6889	0.8000	0.4783	0.6818
106	0.5556	0.5333	0.6250	0.5238
107	0.3889	0.3778	0.5417	0.2381
108	0.5222	0.5778	0.3182	0.6087
