cluster   0   1   2
subject            
1        39   5   1
2        40   0   5
3        18   7  20
4        45   0   0
5        45   0   0
6         0   0  45
7         0  44   1
8        19   3  23
9         3   0  42
10        3  42   0
11        1   6  38
12        0   0  45
13        0   0  45
14        1  44   0
15        0  24  21
16        1   0  44
17        3   0  42
18        0   1  44
19        5   0  40
20       30  15   0
21        0  10  35
22       45   0   0
23        7   8  30
24        0   0  45
25        0   1  44
26        0   0  45
27       28  14   3
28        4  41   0
29        0  45   0
30        0  30  15
31        0  45   0
32       44   0   1
33        2  43   0
34        0  45   0
35        0  45   0
36        0   2  43
37       40   0   5
38       35   5   5
39       44   1   0
40       45   0   0
41       28  15   2
42        0  45   0
43       45   0   0
44        1  43   1
45       41   0   4
46       44   0   1
47        0  35  10
48        0  45   0
49        0   0  45
50        0   0  45
51       45   0   0
52        3  42   0
53        0   0  45
54        0  45   0
55        1  30  14
56        0  22  23
57       34   1  10
58        2   0  43
59       10  34   1
60       45   0   0
61        1   0  44
62        0  45   0
63       24   0  21
64       11  10  24
65        3  40   2
66        0  40   5
67       32   0  13
68       45   0   0
69       45   0   0
70        0  45   0
71       40   0   5
72       26  19   0
73       21   0  24
74        0   9  36
75       24  21   0
76        0   0  45
77        3  41   1
78        4  41   0
79       10  28   7
80       30   0  15
81        0  27  18
82        1  44   0
83        0   4  41
84        4  41   0
85       40   5   0
86        0   3  42
87       15   0  30
89       33   0  12
90       22  22   1
91        1   0  44
93       12  33   0
94        1  44   0
95       45   0   0
96       16  12  17
97       45   0   0
98        2  38   5
99        0   2  43
101      45   0   0
102      45   0   0
103      12  33   0
105       0  43   2
106       1  44   0
107       0  28  17
108       0  21  24
