cluster   0   1   2   3
subject                
1        38   4   3   0
2        45   0   0   0
3         0   0   6  39
4        14   0   0  31
5         3   0   0  42
6         0   0  45   0
7         0  43   2   0
8         0   1   8  36
9         5   0  40   0
10        1  27   0  17
11        1   1  43   0
12        0   0  45   0
13        1   0  44   0
14        1  39   0   5
15        1  14  30   0
16        0   0  44   1
17        2   0  43   0
18        0   0  26  19
19        9   0  36   0
20       23   0   0  22
21        4   2  38   1
22        0   0   0  45
23       36   3   6   0
24        0   0  45   0
25       18   1  26   0
26        6   0  39   0
27       10   5   1  29
28        5  35   0   5
29        0  45   0   0
30        0  29  16   0
31        0  39   0   6
32       45   0   0   0
33       18  27   0   0
34        0  45   0   0
35        0  39   0   6
36        7   0  38   0
37        0   0  22  23
38       26   2   1  16
39        6   0   0  39
40        3   0   0  42
41        5   8   8  24
42        0  45   0   0
43       35   0   0  10
44        2  42   1   0
45       44   0   1   0
46       22   0   6  17
47        0  14  31   0
48        0  44   0   1
49       44   0   1   0
50        3   0  42   0
51        6   0   6  33
52        0  41   0   4
53        0   0  45   0
54        0  45   0   0
55        7  22  15   1
56        0  18  27   0
57       41   0   2   2
58        0   0  45   0
59        5  28  11   1
60       44   0   0   1
61        0   1  44   0
62        0  45   0   0
63        0   0  45   0
64       30   1   7   7
65        1   5   1  38
66        2  35   6   2
67       11   0  34   0
68        5   0   0  40
69       44   0   0   1
70        0  45   0   0
71       33   0   2  10
72       12  33   0   0
73       44   0   1   0
74       13   0  32   0
75        0   3   0  42
76        0   0  45   0
77        3  22   0  20
78        1  20   0  24
79        4   6   4  31
80        9   0  17  19
81        0   2  27  16
82        1  44   0   0
83       45   0   0   0
84        0  41   0   4
85        0  13   0  32
86        4   0  41   0
87       42   0   3   0
89       18   0  27   0
90        0  20   1  24
91       22   0  23   0
93        9  36   0   0
94        0  44   0   1
95       12   0   0  33
96        9   2  19  15
97        1   0   0  44
98        0  40   5   0
99        0   0  45   0
101       0   0   0  45
102      40   0   0   5
103       4  15   1  25
105       2  43   0   0
106       0  39   0   6
107       0  24  21   0
108       0  17  28   0
