Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
15	0.7778	0.8889	0.7826	0.5455
16	0.5333	0.4667	0.6818	0.5217
19	0.5778	0.4444	0.6957	0.7273
21	0.4556	0.4222	0.3333	0.6667
23	0.6333	0.4889	0.8182	0.7391
25	0.6667	0.8889	0.4091	0.4783
36	0.5333	0.6222	0.8696	0.0000
49	0.5444	1.0000	0.0000	0.1818
50	0.5222	0.5556	0.4348	0.5455
64	0.4494	0.2889	0.5652	0.6667
73	0.5632	0.6000	0.1905	0.8571
74	0.4091	0.4222	0.5455	0.2381
83	0.6556	0.9333	0.5909	0.1739
86	0.3889	0.1556	0.9545	0.3043
91	0.4444	0.3556	0.9545	0.1304
