cluster   0   1   2   3   4
subject                    
1        38   0   4   3   0
2        34   0  11   0   0
3         0   0   0  43   2
4        16   0   1  28   0
5         0   0   0  45   0
6         0   0   1   0  44
7         0  44   0   0   1
8         1   0   0  12  32
9        39   0   0   0   6
10        0  20   0  25   0
11        0   2   7   2  34
12        9   0   1   0  35
13        0   0  18   0  27
14        0  34   0  11   0
15        0   4  37   0   4
16        0   0  22   1  22
17       34   0   0   0  11
18        0   0   0   0  45
19        8   0  33   0   4
20        7   0   1  37   0
21        0   2  39   0   4
22        0   0   0  45   0
23        3   2  38   2   0
24        0   0   0   0  45
25        0   1  43   0   1
26        5   0  19   0  21
27       17  12   0  16   0
28        0  21   0  24   0
29        0  45   0   0   0
30        0  30   0   0  15
31        0  44   0   1   0
32       32   0  13   0   0
33        1  17  15  12   0
34        0  45   0   0   0
35        0  42   0   3   0
36        1   0  43   0   1
37        6   0   0   1  38
38        7   0  11  26   1
39       14   0   0  31   0
40        2   0   0  43   0
41        0   0   3  42   0
42        0  45   0   0   0
43        7   0   7  31   0
44        0  42   3   0   0
45       24   0  20   1   0
46       45   0   0   0   0
47        0  21   4   0  20
48        0  45   0   0   0
49        0   0  45   0   0
50        0   0  37   0   8
51       42   0   0   2   1
52        0  33   0  12   0
53        1   0   2   0  42
54        0  45   0   0   0
55        0  22  21   0   2
56        0  28   1   0  16
57       28   0  17   0   0
58        0   0   1   0  44
59       13  26   0   5   1
60       45   0   0   0   0
61       33   1   2   0   9
62        0  45   0   0   0
63       42   0   0   0   3
64        3   2  33   4   3
65        0  11   5  29   0
66        0  37   5   1   2
67       44   0   0   0   1
68        9   0   0  36   0
69       38   0   2   5   0
70        0  43   1   1   0
71        8   0   3  34   0
72       17  26   0   2   0
73        5   0  39   0   1
74        5   0  38   0   2
75        0   6   0  39   0
76        0   1  18   0  26
77        0  14   6  25   0
78        3  13   1  28   0
79        0   0   4  39   2
80       13   1   8  20   3
81        0   3   0   4  38
82        0  40   0   5   0
83        0   0  45   0   0
84        0  26   0  19   0
85        0   4   0  41   0
86        1   0  28   0  16
87       29   0  16   0   0
89       45   0   0   0   0
90        5   6   0  34   0
91        1   0  40   1   3
93        9  28   0   8   0
94        0  41   0   4   0
95        4   0   0  41   0
96       25   6   2   6   6
97        0   0   0  45   0
98        0  41   0   0   4
99        0   2   7   0  36
101      12   0   0  33   0
102      37   0   0   8   0
103       5   8   0  32   0
105       0  42   3   0   0
106       0  37   0   8   0
107       0  29   0   0  16
108       0  22   4   0  19
