cluster   0   1   2   3   4   5
subject                        
1        29  10   0   0   5   1
2        37   0   0   0   8   0
3         0   1  16  28   0   0
4        16   0   1  27   1   0
5         3   0   0  42   0   0
6         0   0  44   0   1   0
7         0   0   0   0   0  45
8         0   0  21  21   0   3
9         6   0  39   0   0   0
10        0   9   0  17   3  16
11        0   0  26   0   5  14
12        0   0  44   0   1   0
13        0   0  35   0  10   0
14        0  23   0   4   1  17
15        0   0   2   0  34   9
16        0   0  38   1   6   0
17        2   0  42   0   1   0
18        0   0  13  32   0   0
19        6   0  22   0  17   0
20       17  14   1   8   5   0
21        0   0  11   1  28   5
22        0   0   0  45   0   0
23        6   1   0   1  35   2
24        0   0  45   0   0   0
25        0   0   2   0  43   0
26        0   0  35   0  10   0
27        8  10   8  14   0   5
28        1  44   0   0   0   0
29        0  42   0   0   0   3
30        0   0   4   0   0  41
31        0  10   0   0   0  35
32       42   0   0   0   3   0
33        1  23   0   0  21   0
34        0  45   0   0   0   0
35        0  45   0   0   0   0
36        1   0   7   0  34   3
37        0   0  16  29   0   0
38        7   0   5  13  20   0
39       23   0   1  21   0   0
40        4   0   0  41   0   0
41        8  29   2   3   2   1
42        0  44   0   0   0   1
43       28   0   0  12   5   0
44        0   5   0   0   8  32
45       21   0   1   0  23   0
46       41   0   4   0   0   0
47        0   0   4   0   0  41
48        0   2   0   0   0  43
49        0   0   0   0  45   0
50        0   0  24   0  21   0
51       27   0   5  13   0   0
52        0  42   0   3   0   0
53        0   0  44   0   1   0
54        0  44   0   0   0   1
55        2   4   2   0  20  17
56        0   0  12   0   1  32
57       33   0   2   0  10   0
58        0   0  45   0   0   0
59       11  25   1   1   1   6
60       44   0   0   1   0   0
61        5   0  38   0   2   0
62        0  36   0   0   0   9
63        0   0  45   0   0   0
64        9   0   4   2  28   2
65        0   2   0  14   3  26
66        0   4   2   0   5  34
67       13   0  30   1   1   0
68       21   0   0  24   0   0
69       40   0   0   1   4   0
70        0   0   0   0   0  45
71       22   0   4  12   7   0
72       14  31   0   0   0   0
73        6   0   3   0  36   0
74        1   0   7   0  37   0
75        0   9   0  36   0   0
76        0   0  37   0   7   1
77        0   8   0   9  10  18
78        0  13   1  21   2   8
79        0   2   6  32   4   1
80       16   0   8  18   3   0
81        0   0   0   1   0  44
82        0  38   0   0   2   5
83        0   0   0   0  45   0
84        0  41   0   4   0   0
85        0   5   0  40   0   0
86        0   0  27   0  13   5
87       20   0   2   0  22   1
89       38   0   7   0   0   0
90        3  16   0  23   1   2
91        0   0   9   0  36   0
93        7  35   0   0   1   2
94        0  44   0   1   0   0
95       10   0   0  35   0   0
96       11   0  23   7   0   4
97        3   0   0  42   0   0
98        0   1   0   0   0  44
99        0   0  35   0   8   2
101       3   0   1  41   0   0
102      43   0   0   2   0   0
103       5  29   0   9   1   1
105       0   6   0   0   3  36
106       0  43   0   1   0   1
107       0   1   7   0   0  37
108       0   1  21   0   6  17
