Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5778	0.4667	0.5217	0.8636
2	0.5556	0.4222	0.6087	0.7727
3	0.3000	0.2667	0.4783	0.1818
4	0.6778	0.8444	0.2609	0.7727
5	0.4778	0.5333	0.0000	0.7917
6	0.3778	0.3778	0.4167	0.3333
7	0.8000	0.7111	0.8261	0.9545
8	0.6222	0.6444	0.7273	0.4783
9	0.2556	0.1778	0.4167	0.2381
10	0.6556	0.6889	0.5833	0.6667
11	0.5889	0.6667	0.6087	0.4091
12	0.4889	0.5111	0.7619	0.2083
13	0.5778	0.4444	0.8261	0.5909
14	0.4444	0.4222	0.0455	0.8696
15	0.8667	0.8667	0.8696	0.8636
16	0.5667	0.5778	0.5455	0.5652
17	0.4889	0.5556	0.5652	0.2727
18	0.4222	0.6889	0.2273	0.0870
19	0.6778	0.6667	0.6957	0.6818
20	0.5000	0.6222	0.5217	0.2273
21	0.6000	0.6889	0.3750	0.6667
22	0.5444	0.5778	0.2273	0.7826
23	0.5889	0.6222	0.3636	0.7391
24	0.4333	0.5111	0.3636	0.3478
25	0.7222	0.8667	0.3636	0.7826
26	0.4111	0.3556	0.6250	0.2857
27	0.5333	0.6667	0.2174	0.5909
28	0.6556	0.8222	0.4545	0.5217
29	0.8444	0.7556	0.8696	1.0000
30	0.4444	0.2667	0.9167	0.2857
31	0.4444	0.2444	0.7273	0.5652
32	0.7889	0.8222	0.7619	0.7500
33	0.5556	0.4889	0.6087	0.6364
34	0.8068	0.6667	1.0000	0.9091
35	0.7111	0.7111	0.8636	0.5652
36	0.6000	0.7556	0.2609	0.6364
37	0.4091	0.6889	0.1818	0.0476
38	0.3778	0.3778	0.3043	0.4545
39	0.4667	0.6222	0.3478	0.2727
40	0.5000	0.8444	0.0952	0.2083
41	0.5393	0.6000	0.8696	0.0476
42	0.7111	0.8444	0.7727	0.3913
43	0.6778	0.7778	0.6957	0.4545
44	0.6333	0.6444	0.5909	0.6522
45	0.7222	0.8222	0.8696	0.3636
46	0.4889	0.4444	0.7391	0.3182
47	0.3222	0.2000	0.3750	0.5238
48	0.6667	0.6000	0.9545	0.5217
49	0.7444	0.9111	0.3043	0.8636
50	0.5667	0.6667	0.3043	0.6364
51	0.5444	0.7333	0.5417	0.1429
52	0.7000	0.6444	0.7917	0.7143
53	0.4111	0.2667	0.3182	0.7826
54	0.7333	0.8000	0.9565	0.3636
55	0.8111	0.7333	0.8261	0.9545
56	0.6889	0.6444	0.8636	0.6087
57	0.4556	0.5778	0.2917	0.3810
58	0.4889	0.5556	0.3750	0.4762
59	0.4778	0.5333	0.2500	0.6190
60	0.6667	0.5333	0.6957	0.9091
61	0.5778	0.4889	0.6818	0.6522
62	0.8222	0.6889	1.0000	0.9091
63	0.4778	0.5111	0.5000	0.3913
64	0.5281	0.5333	0.3043	0.7619
65	0.5111	0.5556	0.3750	0.5714
66	0.2111	0.2222	0.2727	0.1304
67	0.4000	0.4667	0.4091	0.2609
68	0.6556	0.8000	0.5455	0.4783
69	0.6778	0.9111	0.3333	0.5714
70	0.5778	0.4222	0.5909	0.8696
71	0.6778	0.6000	0.9091	0.6087
72	0.7614	0.6444	0.9545	0.8095
73	0.7126	0.8444	0.3810	0.7619
74	0.4659	0.4889	0.3636	0.5238
75	0.6889	0.6222	0.6364	0.8696
76	0.2874	0.2444	0.3333	0.3333
77	0.4333	0.5111	0.2857	0.4167
78	0.3889	0.4444	0.4783	0.1818
79	0.4000	0.5778	0.3182	0.1304
80	0.6000	0.5556	0.7391	0.5455
81	0.3889	0.4667	0.6364	0.0000
82	0.5333	0.4222	0.6957	0.5909
83	0.6667	0.8000	0.6364	0.4348
84	0.4111	0.4000	0.1304	0.7273
85	0.8667	0.8444	0.7826	1.0000
86	0.7111	0.6444	0.9091	0.6522
87	0.2889	0.2444	0.3182	0.3478
89	0.6333	0.7778	0.2917	0.7143
90	0.6000	0.6889	0.5909	0.4348
91	0.4889	0.4889	0.4091	0.5652
93	0.7000	0.6444	0.8696	0.6364
94	0.5333	0.5556	0.3636	0.6522
95	0.5889	0.6444	0.5652	0.5000
96	0.5000	0.4444	0.4783	0.6364
97	0.4889	0.8444	0.2174	0.0455
98	0.5000	0.4889	0.6957	0.3182
99	0.3667	0.3111	0.0909	0.7391
101	0.5111	0.5333	0.7273	0.2609
102	0.7011	0.6444	0.9524	0.5714
103	0.5667	0.6444	0.5455	0.4348
105	0.6889	0.8222	0.4783	0.6364
106	0.5333	0.4222	0.8750	0.3810
107	0.4556	0.3556	0.4583	0.6667
108	0.5333	0.6000	0.3636	0.5652
