Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5778	0.4889	0.4348	0.9091
2	0.5444	0.4444	0.5652	0.7273
4	0.7000	0.8889	0.2609	0.7727
9	0.3222	0.1556	0.6667	0.2857
10	0.6111	0.7111	0.5417	0.4762
13	0.5444	0.2889	0.8696	0.7273
15	0.8222	0.8889	0.5217	1.0000
16	0.6556	0.6444	0.7273	0.6087
18	0.3111	0.3778	0.1364	0.3478
19	0.6444	0.6000	0.6087	0.7727
20	0.4889	0.5333	0.4348	0.4545
23	0.4556	0.3778	0.2727	0.7826
25	0.6667	0.8667	0.5455	0.3913
26	0.3556	0.2444	0.6250	0.2857
27	0.3889	0.2889	0.2174	0.7727
28	0.6444	0.7333	0.3636	0.7391
32	0.8000	0.7556	0.8095	0.8750
33	0.5222	0.3556	0.4348	0.9545
36	0.5778	0.7111	0.3478	0.5455
38	0.4222	0.4889	0.2609	0.4545
39	0.4667	0.6000	0.4348	0.2273
41	0.4382	0.3778	0.9130	0.0476
43	0.6889	0.8889	0.5217	0.4545
44	0.6444	0.5556	0.8182	0.6522
45	0.7444	0.8000	0.7826	0.5909
46	0.4222	0.3111	0.6087	0.4545
49	0.7000	1.0000	0.1304	0.6818
50	0.4889	0.5778	0.3043	0.5000
51	0.4667	0.5778	0.4167	0.2857
53	0.3889	0.2444	0.4091	0.6522
55	0.9000	0.8889	0.9565	0.8636
57	0.5111	0.6222	0.3750	0.4286
58	0.3444	0.2444	0.4167	0.4762
59	0.3444	0.3111	0.2500	0.5238
60	0.6667	0.4667	0.7826	0.9545
61	0.5667	0.3778	0.9091	0.6087
64	0.4944	0.4222	0.2609	0.9048
65	0.5444	0.5111	0.2917	0.9048
66	0.2333	0.1333	0.2727	0.3913
67	0.3667	0.4667	0.3182	0.2174
68	0.6778	0.8222	0.5455	0.5217
69	0.6667	0.8667	0.5417	0.3810
71	0.6667	0.6667	0.7727	0.5652
72	0.7045	0.6444	0.7727	0.7619
73	0.6437	0.7111	0.3333	0.8095
74	0.3977	0.3556	0.3636	0.5238
76	0.2874	0.2889	0.4286	0.1429
77	0.4444	0.5778	0.3333	0.2917
79	0.3889	0.5556	0.1818	0.2609
80	0.7000	0.6889	0.6087	0.8182
82	0.5222	0.5111	0.3913	0.6818
83	0.7111	0.8889	0.7273	0.3478
87	0.3333	0.2444	0.1364	0.6957
89	0.6333	0.8000	0.4167	0.5238
91	0.3889	0.2889	0.5909	0.3913
93	0.6889	0.6222	0.8696	0.6364
95	0.6222	0.7778	0.5217	0.4091
96	0.4889	0.3111	0.6087	0.7273
102	0.7356	0.6000	0.8571	0.9048
103	0.4222	0.3111	0.7727	0.3043
105	0.5889	0.5333	0.5217	0.7727
108	0.4667	0.4222	0.5000	0.5217
