cluster   0   1   2   3
subject                
1         7   0   3  35
2         0   0   0  45
3        21   1  23   0
4        43   0   0   2
5        45   0   0   0
6         0   0  45   0
7         0  41   4   0
8        37   0   8   0
9         0   0  39   6
10       14  30   0   1
11        0   0  45   0
12        0   0  45   0
13        0   0  38   7
14        5  40   0   0
15        0   8  36   1
16        1   0  42   2
17        2   0  43   0
18       39   0   4   2
19        0   0  13  32
20       18   6   0  21
21        0   0  45   0
22       45   0   0   0
23        0   2  18  25
24        0   0  45   0
25        0   1   2  42
26        0   0  34  11
27       40   4   0   1
28        2  42   0   1
29        0  45   0   0
30        0  28  17   0
31        0  45   0   0
32        0   0   0  45
33        0  30   1  14
34        0  45   0   0
35        1  44   0   0
36        0   0  18  27
37       43   0   2   0
38       26   4   4  11
39       36   0   0   9
40       45   0   0   0
41        0   1   1  43
42        0  45   0   0
43        8   0   0  37
44        0  43   0   2
45        0   0   1  44
46        5   0   4  36
47        0   9  36   0
48        0  45   0   0
49        0   0   0  45
50        0   0  38   7
51       41   0   2   2
52        2  43   0   0
53        0   0  44   1
54        0  45   0   0
55        0  20  18   7
56        0  16  29   0
57        6   0   1  38
58        0   0  44   1
59        1  25   2  17
60       43   0   0   2
61        0   2  40   3
62        0  45   0   0
63        2   0  43   0
64        7   1   2  35
65       14  29   0   2
66        1  36   7   1
67        4   0  24  17
68       43   0   0   2
69        8   0   0  37
70        0  35  10   0
71       27   0   1  17
72        0  34   0  11
73        0   0   8  37
74        0   0  22  23
75       36   9   0   0
76        0   0  42   3
77        8  36   0   1
78       21  23   1   0
79       22   9   4  10
80       18   0  19   8
81        0   2  43   0
82        0  44   0   1
83        1   0   0  44
84        1  44   0   0
85       45   0   0   0
86        0   0  45   0
87        0   0   6  39
89        3   0  10  32
90       21  21   3   0
91        0   0  25  20
93        1  37   1   6
94        1  44   0   0
95       44   0   0   1
96       21   5  17   2
97       45   0   0   0
98        0  38   7   0
99        0   2  43   0
101      44   0   1   0
102       6   0   0  39
103      17  23   0   5
105       0  41   1   3
106       1  44   0   0
107       0  21  24   0
108       0  21  23   1
