cluster   0   1   2
subject            
1        46   2  42
2         1   0  89
3        67   1  22
4        90   0   0
5        90   0   0
6         0   0  90
7         0  86   4
8        54   0  36
9         2   0  88
10       38  51   1
11        0   5  85
12        0   1  89
13        0   0  90
14       36  53   1
15        0  45  45
16        1   0  89
17        3   0  87
18        8   0  82
19        0   0  90
20       84   4   2
21        3  13  74
22       90   0   0
23        8   7  75
24        0   0  90
25        0   3  87
26        3   0  87
27       80   6   4
28       37  53   0
29        0  90   0
30        1  75  14
31        0  90   0
32       69   0  21
33       25  41  24
34        0  88   0
35        6  84   0
36        0   0  90
37       34   0  54
38       61   1  28
39       89   1   0
40       90   0   0
41       52  28   9
42        0  90   0
43       87   0   3
44        0  78  12
45       22   0  68
46       54   0  36
47        0  49  41
48        0  90   0
49        0   0  90
50        0   0  90
51       86   0   4
52       24  66   0
53        0   0  90
54        0  90   0
55        4  41  45
56        0  31  59
57       25   0  65
58        0   0  90
59       21  32  37
60       90   0   0
61        0   2  88
62        0  90   0
63        9   0  81
64       33   4  52
65       61  25   4
66        1  72  17
67       11   0  79
68       90   0   0
69       75   0  15
70        0  90   0
71       80   0  10
72       37  45   6
73       13   0  74
74        0   2  86
75       85   5   0
76        0   1  86
77       47  36   7
78       63  26   1
79       75   3  12
80       54   0  36
81        0  68  22
82        7  83   0
83        1   4  85
84       43  47   0
85       90   0   0
86        1   8  81
87        9   0  81
89        8   0  82
90       72  16   2
91        7   0  83
93       27  62   1
94        1  89   0
95       90   0   0
96       31   1  58
97       90   0   0
98        0  90   0
99        0   1  89
101      89   0   1
102      62   0  25
103      53  24  13
105       0  88   2
106       9  81   0
107       0  73  17
108       0  28  62
