Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
2	0.5778	0.5111	0.5652	0.7273
3	0.3000	0.2444	0.3913	0.3182
6	0.3556	0.3778	0.2917	0.3810
7	0.8111	0.7111	0.8696	0.9545
8	0.6333	0.7111	0.5455	0.5652
9	0.2556	0.1333	0.4167	0.3333
10	0.6111	0.6444	0.5833	0.5714
11	0.5556	0.6444	0.5652	0.3636
12	0.5667	0.5778	0.7619	0.3750
13	0.6667	0.5556	0.6522	0.9091
14	0.4333	0.4222	0.0455	0.8261
15	0.8667	0.9556	0.7391	0.8182
16	0.6556	0.7333	0.5000	0.6522
17	0.4889	0.4667	0.7826	0.2273
18	0.3778	0.5111	0.0000	0.4783
19	0.6333	0.6444	0.6522	0.5909
20	0.5333	0.5556	0.6957	0.3182
21	0.5111	0.5556	0.1250	0.8571
23	0.5778	0.4889	0.4545	0.8696
24	0.3556	0.3333	0.1818	0.5652
25	0.7889	0.9333	0.5455	0.7391
26	0.4667	0.4667	0.6250	0.2857
30	0.4333	0.2889	0.7500	0.3810
33	0.4667	0.3556	0.4783	0.6818
36	0.5889	0.7111	0.3043	0.6364
37	0.3750	0.3778	0.5909	0.1429
38	0.4333	0.4222	0.3913	0.5000
41	0.4382	0.3778	0.9130	0.0476
43	0.7000	0.7778	0.7391	0.5000
44	0.5333	0.5556	0.6818	0.3478
45	0.8111	0.8222	0.7391	0.8636
47	0.4222	0.4222	0.4167	0.4286
49	0.6778	0.8444	0.3043	0.7273
50	0.4778	0.5333	0.3043	0.5455
53	0.3889	0.2889	0.4091	0.5652
55	0.7000	0.6000	0.6957	0.9091
56	0.6222	0.4889	0.5455	0.9565
57	0.4889	0.5556	0.2500	0.6190
58	0.4222	0.4444	0.4583	0.3333
59	0.5222	0.6222	0.4167	0.4286
61	0.5667	0.4222	0.8182	0.6087
63	0.4222	0.5111	0.4545	0.2174
64	0.5281	0.4667	0.4783	0.7143
65	0.5444	0.5556	0.5000	0.5714
66	0.2333	0.2667	0.1818	0.2174
67	0.3556	0.4222	0.3636	0.2174
70	0.4111	0.2444	0.5909	0.5652
71	0.6111	0.5778	0.8636	0.4348
73	0.6552	0.7778	0.3333	0.7143
74	0.4318	0.4444	0.2727	0.5714
76	0.2989	0.3778	0.1429	0.2857
77	0.4889	0.5333	0.6190	0.2917
79	0.4222	0.6222	0.2727	0.1739
80	0.6222	0.6444	0.3043	0.9091
81	0.3889	0.4222	0.7273	0.0000
83	0.6889	0.8444	0.7727	0.3043
86	0.5333	0.3556	0.6818	0.7391
87	0.3444	0.3556	0.1818	0.4783
89	0.5889	0.8444	0.2083	0.4762
91	0.4889	0.4444	0.5455	0.5217
96	0.5222	0.5111	0.3478	0.7273
98	0.5111	0.4889	0.8261	0.2273
99	0.4111	0.4667	0.2273	0.4783
102	0.7356	0.6444	0.9524	0.7143
105	0.6889	0.7333	0.5652	0.7273
107	0.4333	0.3333	0.7500	0.2857
108	0.5333	0.5778	0.2727	0.6957
