cluster   0   1   2   3
subject                
1        86   2   0   2
2        89   0   1   0
3         0   0  31  59
4        30   0   0  60
5         3   0   0  87
6         3   0  87   0
7         0  85   5   0
8         6   4   6  74
9        80   0  10   0
10        0  39   4  47
11        0   4  81   5
12       20   1  69   0
13        0   0  90   0
14        0  57   2  31
15        3  16  71   0
16        1   0  87   2
17       76   0  14   0
18        0   0   9  81
19       21   0  69   0
20       37  15   3  35
21        0   2  87   1
22        0   0   0  90
23        7   7  69   7
24        1   0  89   0
25        0   3  87   0
26        3   0  87   0
27       37   9   0  44
28        0  70   0  20
29        0  89   0   1
30        8  70  11   1
31        0  90   0   0
32       84   0   0   6
33       18  58   9   5
34        0  88   0   0
35        0  83   0   7
36        2   0  88   0
37       65   0   3  20
38       22   0   7  61
39       15   0   0  75
40        9   0   0  81
41       31  11  27  20
42        0  90   0   0
43       29   0   1  60
44        4  83   2   1
45       82   0   8   0
46       90   0   0   0
47        0  11  79   0
48        0  90   0   0
49        1   0  89   0
50        0   0  90   0
51       82   0   0   8
52        1  71   0  18
53        1   0  89   0
54        0  90   0   0
55        0  69  20   1
56        0  43  47   0
57       66   1  14   9
58        3   0  87   0
59       32  46   8   4
60       89   0   0   1
61       80   1   9   0
62        0  90   0   0
63       86   0   4   0
64       22   7  19  41
65        0  20   6  64
66        0  75  13   2
67       84   0   4   2
68       17   0   0  73
69       80   0   0  10
70        0  76  14   0
71       26   3   4  57
72       52  36   0   0
73       18   0  68   1
74        9   2  77   0
75        1   4   0  85
76        0   0  87   0
77        0  29   8  53
78        4  21   0  65
79        0   1  10  79
80       40   1   5  44
81        0  14  63  13
82        3  85   0   2
83        0   2  76  12
84        3  61   0  26
85        0   1   0  89
86        9   5  76   0
87       64   0  26   0
89       84   0   6   0
90        4   5   0  81
91        1   0  88   1
93       33  54   0   3
94        0  89   0   1
95       11   0   0  79
96       54   7  10  19
97        0   0   0  90
98        0  84   5   1
99        0   1  89   0
101      73   0   0  17
102      76   0   3   8
103       9  19   0  62
105       1  88   1   0
106       0  84   0   6
107       0  48  42   0
108       0  36  54   0
