cluster   0   1   2   3   4
subject                    
1         0   1   3   0  86
2         0   0   0   0  90
3        69   2  19   0   0
4        46   0   2   0  42
5        81   0   0   0   9
6         0   2  88   0   0
7         0  89   1   0   0
8        55  14  21   0   0
9         0   0  78   0  12
10       42  32   0  15   1
11        3  26  61   0   0
12        0   4  86   0   0
13        0   0  85   0   5
14       26  49   1  14   0
15        0  58  30   0   2
16        1   9  80   0   0
17        0   0  88   0   2
18       15   2  73   0   0
19        0   0  52   0  38
20       46   1   0  14  29
21        0  40  50   0   0
22       90   0   0   0   0
23        2  15  33   0  40
24        0   0  90   0   0
25        0   4  69   0  17
26        0   0  87   0   3
27       54   4   4   6  22
28       10   1   0  75   4
29        0  51   0  39   0
30        1  82   7   0   0
31        0  87   0   3   0
32        0   0   0   0  90
33        1   0   0  36  53
34        0   0   0  88   0
35        0   0   0  90   0
36        0   5  50   0  35
37       71   0  17   0   0
38       46   1  20   0  23
39       50   0   0   2  38
40       79   0   0   0  11
41       16   0   0  17  56
42        0   1   0  89   0
43       27   0   0   0  63
44        0  46   1  32  11
45        1   0   2   0  87
46        2   0   0   0  88
47        0  70  20   0   0
48        0  66   0  23   1
49        0   0   6   0  84
50        0   0  84   0   6
51       55   0   6   0  29
52        3   0   0  87   0
53        0   0  90   0   0
54        0   0   0  90   0
55        1  57  22   3   7
56        0  58  32   0   0
57        0   0  10   0  80
58        0   0  90   0   0
59        3   5   0  16  66
60        2   0   0   2  86
61        0   7  68   0  15
62        0   6   0  84   0
63        1   0  89   0   0
64       14   8  12   0  55
65       49  40   0   1   0
66        1  74   5   7   3
67        5   0  53   0  32
68       75   0   0   0  15
69        1   0   0   0  89
70        0  87   0   3   0
71       26   0   2   8  54
72        0   0   0  41  47
73        2   2  40   0  43
74        0  11  54   0  23
75       78   0   0  12   0
76        0   2  82   0   3
77       41   9   0  23  17
78       53  27   0   8   2
79       60   2   1   7  20
80       47   1  27   0  15
81        0  90   0   0   0
82        1  20   0  67   2
83        0   0  11   1  78
84        4   0   0  84   2
85       68   0   0  22   0
86        0  28  58   0   4
87        0   3  35   0  52
89        0   0  11   0  79
90       79   6   1   4   0
91        1   0  77   0  12
93        0   3   0  61  26
94        2   0   0  88   0
95       69   0   0   0  21
96       17  13  38   0  22
97       90   0   0   0   0
98        5  64   6  15   0
99        0   7  83   0   0
101      88   0   1   0   1
102      10   0   3   0  74
103      13   0   1  47  29
105       0  65   0  21   4
106       1   5   0  81   3
107       0  77  12   1   0
108       0  31  52   2   5
