cluster   0   1   2   3   4   5
subject                        
1        13   4  72   1   0   0
2         1   0  51  38   0   0
3         0   0   0   0  52  38
4         0   0  71   0  19   0
5         1   0  15   0  74   0
6         0   0   6   1   0  83
7         0  86   0   0   0   4
8         0   0   1   0  87   2
9         0   0  88   1   0   1
10        9  53   0   1  27   0
11        0   0   1  10   4  75
12        0   0  12   0   0  78
13        0   0   0  34   0  56
14        4  67   2   0  16   1
15        1  28   2  21   0  38
16        0   0   1   2   1  86
17        0   0  87   0   0   3
18        0   0   0   0  86   4
19        0   0  23  46   0  21
20       62   0  20   5   3   0
21        0   3   3  10   0  74
22        0   0   0   0  90   0
23        0   3   4  74   0   9
24        0   0   2   0   0  88
25        0   0   0  85   0   5
26        0   0  29  30   0  31
27       14   7  47   0  22   0
28       81   9   0   0   0   0
29        0  90   0   0   0   0
30        0  63   3   0   0  24
31        0  90   0   0   0   0
32       23   0  45  22   0   0
33       78   3   0   9   0   0
34        0  88   0   0   0   0
35        0  18   0   0  72   0
36        0   0   0  68   0  22
37        0   0   0   0  87   1
38       16   0  38   7  28   1
39       31   0   2   1  56   0
40       19   0   0   0  71   0
41       68   0   0  21   0   0
42        0  90   0   0   0   0
43       45   0   8  21  16   0
44        9  74   0   4   2   1
45        5   0  29  55   0   1
46        1   0  89   0   0   0
47        0  22   0   1   0  67
48        1  89   0   0   0   0
49        0   0   0  89   0   1
50        0   0   1  51   0  38
51        2   0  84   0   4   0
52       58  32   0   0   0   0
53        0   0   1   0   1  88
54        0  90   0   0   0   0
55        0  43   0  10   6  31
56        0  25   0   0   5  60
57        5   0  47  35   3   0
58        0   0  16   3   0  71
59       35  42   4   6   2   1
60       62   0  28   0   0   0
61        0   5  60   0   1  24
62        3  87   0   0   0   0
63        0   0  90   0   0   0
64        2   2   7  51  24   3
65        1  12   0  16  60   1
66        8  56   2  16   0   8
67        0   0  89   0   1   0
68       47   0   6   0  37   0
69       60   0  28   2   0   0
70        0  88   0   1   0   1
71       82   1   1   3   3   0
72       85   3   0   0   0   0
73        0   0  15  71   0   1
74        0   0  13  56   0  19
75        3   4   0   0  83   0
76        0   0   0  33   0  54
77       28  23   0  20  19   0
78        1  16   0   1  72   0
79        9   1   0  12  67   1
80        0   0  43   3  38   6
81        0   0   0   0  40  50
82       19  71   0   0   0   0
83        0   0   0  88   1   1
84       65  24   0   0   1   0
85       83   0   1   0   6   0
86        0   4   2  12   0  72
87        3   0  54  31   0   2
89        0   0  83   5   0   2
90        8   9   2   0  71   0
91        0   0   7  59   0  24
93       60  30   0   0   0   0
94        2  86   0   0   2   0
95       59   0  25   0   6   0
96        0   3  59   1  21   6
97       77   0   0   0  13   0
98        5  74   0   0   9   2
99        0   0   0   7   0  83
101      11   0  40   0  39   0
102       9   0  54  20   4   0
103      27   4   4   1  54   0
105       4  84   0   2   0   0
106      30  56   0   0   4   0
107       0  41   0   0   0  49
108       1  36   0   6   0  47
