Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.6111	0.6889	0.6087	0.4545
2	0.5444	0.3778	0.5217	0.9091
3	0.3000	0.3333	0.3043	0.2273
4	0.6889	0.8444	0.3913	0.6818
5	0.4667	0.5556	0.2381	0.5000
6	0.3444	0.3111	0.5833	0.1429
7	0.7778	0.7556	0.7391	0.8636
8	0.5889	0.6222	0.6364	0.4783
9	0.3889	0.3556	0.5417	0.2857
10	0.6000	0.6222	0.6250	0.5238
11	0.5667	0.5778	0.5217	0.5909
12	0.5556	0.7333	0.4762	0.2917
13	0.6222	0.6000	0.7391	0.5455
14	0.5778	0.6889	0.3182	0.6087
15	0.8222	0.9111	0.6522	0.8182
16	0.5889	0.6222	0.5000	0.6087
17	0.5778	0.7111	0.6522	0.2273
18	0.4667	0.6222	0.4091	0.2174
19	0.6778	0.7333	0.4783	0.7727
20	0.5778	0.6444	0.5652	0.4545
21	0.5778	0.6000	0.2500	0.9048
22	0.6333	0.7778	0.2273	0.7391
23	0.6556	0.6889	0.5909	0.6522
24	0.3111	0.1111	0.3182	0.6957
25	0.7444	0.9556	0.6818	0.3913
26	0.5222	0.5778	0.6250	0.2857
27	0.4778	0.5778	0.1739	0.5909
28	0.6333	0.7111	0.5909	0.5217
29	0.8000	0.7333	0.7391	1.0000
30	0.4556	0.3556	0.5833	0.5238
31	0.5000	0.4000	0.7273	0.4783
32	0.8111	0.9333	0.8571	0.5417
33	0.6111	0.5333	0.8261	0.5455
34	0.7500	0.5556	0.9524	0.9545
35	0.6111	0.6000	0.9091	0.3478
36	0.5889	0.7778	0.3913	0.4091
37	0.5568	0.8889	0.2273	0.1905
38	0.4222	0.6444	0.0870	0.3182
39	0.4333	0.6222	0.2174	0.2727
40	0.5000	0.7333	0.0476	0.4583
41	0.4045	0.3333	0.8261	0.0952
42	0.6889	0.8000	0.8636	0.3043
43	0.7556	0.7778	0.6957	0.7727
44	0.6333	0.6667	0.6818	0.5217
45	0.6778	0.7778	0.7826	0.3636
46	0.4222	0.3778	0.4783	0.4545
47	0.3333	0.2889	0.4167	0.3333
48	0.6778	0.6222	0.7727	0.6957
49	0.5667	0.9778	0.1304	0.1818
50	0.4556	0.4667	0.4348	0.4545
51	0.4778	0.5778	0.6250	0.0952
52	0.7000	0.6889	0.7500	0.6667
53	0.3667	0.2000	0.4545	0.6087
54	0.6778	0.8000	0.6087	0.5000
55	0.8222	0.8889	0.6957	0.8182
56	0.7000	0.6889	0.6818	0.7391
57	0.4778	0.6222	0.2500	0.4286
58	0.4333	0.4222	0.4167	0.4762
59	0.4778	0.4667	0.3750	0.6190
60	0.6667	0.5556	0.6522	0.9091
61	0.6444	0.8667	0.6364	0.2174
62	0.8333	0.8222	0.9130	0.7727
63	0.4111	0.5333	0.3182	0.2609
64	0.3708	0.2444	0.2174	0.8095
65	0.4444	0.4000	0.5000	0.4762
66	0.3889	0.3111	0.3182	0.6087
67	0.3667	0.3556	0.5000	0.2609
68	0.6000	0.6889	0.4091	0.6087
69	0.6444	0.8667	0.2917	0.5714
70	0.5889	0.4889	0.8182	0.5652
71	0.7556	0.8000	0.7727	0.6522
72	0.7614	0.6667	0.8182	0.9048
73	0.6322	0.6889	0.4762	0.6667
74	0.5114	0.6000	0.4091	0.4286
75	0.6889	0.6667	0.6364	0.7826
76	0.3103	0.2222	0.6190	0.1905
77	0.4444	0.5333	0.4762	0.2500
78	0.3444	0.5111	0.2174	0.1364
79	0.4667	0.6667	0.3182	0.2174
80	0.6556	0.6889	0.6957	0.5455
81	0.3889	0.5111	0.5455	0.0000
82	0.5889	0.7333	0.3913	0.5000
83	0.6556	0.7556	0.6364	0.4783
84	0.5000	0.4667	0.4783	0.5909
85	0.7556	0.6444	0.7391	1.0000
86	0.6333	0.5778	0.5909	0.7826
87	0.4778	0.4667	0.3636	0.6087
89	0.6444	0.8000	0.3333	0.6667
90	0.5000	0.5778	0.3636	0.4783
91	0.4889	0.5556	0.6364	0.2174
93	0.6667	0.6444	0.6957	0.6818
94	0.5444	0.2444	0.7727	0.9130
95	0.4889	0.6000	0.4348	0.3182
96	0.5444	0.5778	0.6522	0.3636
97	0.4778	0.6667	0.3043	0.2727
98	0.5556	0.5111	0.6957	0.5000
99	0.3444	0.4889	0.3182	0.0870
101	0.4333	0.4444	0.6364	0.2174
102	0.6207	0.6444	0.6667	0.5238
103	0.6444	0.7778	0.7727	0.2609
105	0.6556	0.7778	0.6522	0.4091
106	0.5333	0.5333	0.7083	0.3333
107	0.4111	0.3111	0.3750	0.6667
108	0.5333	0.7111	0.2727	0.4348
