Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5444	0.6222	0.6087	0.3182
3	0.2667	0.1778	0.5217	0.1818
4	0.6333	0.8222	0.3043	0.5909
5	0.4000	0.5556	0.1429	0.3333
8	0.6778	0.7333	0.6818	0.5652
18	0.5556	0.8444	0.1818	0.3478
20	0.5556	0.7333	0.3043	0.4545
22	0.6000	0.7333	0.5000	0.4348
27	0.5111	0.6000	0.3043	0.5455
32	0.6111	0.7778	0.7619	0.1667
37	0.4886	0.6667	0.5000	0.0952
38	0.4667	0.5778	0.3478	0.3636
39	0.4000	0.5333	0.1739	0.3636
40	0.4111	0.5778	0.1905	0.2917
43	0.6667	0.8667	0.4348	0.5000
46	0.4333	0.4222	0.6522	0.2273
51	0.5222	0.6444	0.4167	0.3810
60	0.6000	0.4889	0.6522	0.7727
64	0.4270	0.3111	0.3478	0.7619
68	0.6111	0.5778	0.5909	0.6957
69	0.6667	0.8444	0.5833	0.3810
71	0.6444	0.6667	0.5909	0.6522
75	0.5667	0.5556	0.6818	0.4783
79	0.4000	0.6000	0.1818	0.2174
80	0.6000	0.6889	0.4783	0.5455
85	0.7889	0.8000	0.7391	0.8182
90	0.5778	0.6667	0.4545	0.5217
95	0.4889	0.4889	0.5652	0.4091
96	0.5111	0.6222	0.6522	0.1364
97	0.4889	0.8000	0.0870	0.2727
101	0.4444	0.5333	0.5909	0.1304
102	0.6782	0.7111	0.6190	0.6667
