cluster   0   1   2
subject            
1         6   1  38
2        34   0  11
3         6   4  35
4         0   0  45
5         0   0  45
6        45   0   0
7         0  45   0
8         4   3  38
9        45   0   0
10        1  31  13
11       43   2   0
12       45   0   0
13       45   0   0
14        0  37   8
15       33  12   0
16       44   0   1
17       41   0   4
18        2   0  43
19       44   0   1
20        2   5  38
21       42   2   1
22        0   0  45
23       40   3   2
24       45   0   0
25       44   1   0
26       45   0   0
27        1   4  40
28        0  43   2
29        0  45   0
30        6  39   0
31        0  45   0
32       21   0  24
33       12  31   2
34        0  45   0
35        0  45   0
36       45   0   0
37        1   0  44
38       13   1  31
39        0   0  45
40        0   0  45
41        3  23  19
42        0  45   0
43        0   0  45
44        1  44   0
45       44   0   1
46        7   0  38
47       23  22   0
48        0  45   0
49       45   0   0
50       45   0   0
51        0   0  45
52        0  40   5
53       45   0   0
54        0  45   0
55       15  28   2
56       24  21   0
57       31   0  14
58       45   0   0
59        3  35   7
60        0   0  45
61       39   4   2
62        0  45   0
63       45   0   0
64       20   4  21
65        1  28  16
66       12  32   1
67       41   0   4
68        0   0  45
69        4   0  41
70        0  45   0
71        2   1  42
72        1  23  21
73       45   0   0
74       45   0   0
75        0  11  34
76       45   0   0
77        2  34   9
78        0  30  15
79        4   8  33
80        5   0  40
81        0  45   0
82        1  44   0
83       43   1   1
84        0  38   7
85        0   0  45
86       44   1   0
87       45   0   0
89       38   0   7
90        0  20  25
91       45   0   0
93        0  33  12
94        0  43   2
95        0   0  45
96       14   6  25
97        0   0  45
98        2  43   0
99       45   0   0
101       0   0  45
102       1   0  44
103       0  35  10
105       3  42   0
106       0  45   0
107      11  34   0
108      26  19   0
