Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5444	0.6444	0.3478	0.5455
2	0.5667	0.5111	0.4348	0.8182
3	0.3778	0.4667	0.3478	0.2273
4	0.7444	0.8667	0.5217	0.7273
5	0.4222	0.5556	0.1905	0.3750
6	0.4111	0.4222	0.4583	0.3333
7	0.7667	0.6444	0.8261	0.9545
8	0.5556	0.6444	0.4545	0.4783
9	0.3333	0.3778	0.2917	0.2857
10	0.5667	0.6444	0.3750	0.6190
11	0.4889	0.5111	0.6522	0.2727
12	0.5333	0.5556	0.4762	0.5417
13	0.6111	0.5333	0.8261	0.5455
14	0.5000	0.5333	0.0909	0.8261
15	0.8000	0.9111	0.5217	0.8636
16	0.6333	0.6000	0.6364	0.6957
17	0.4667	0.5556	0.4348	0.3182
18	0.4667	0.6667	0.3182	0.2174
19	0.6556	0.7333	0.6522	0.5000
20	0.5667	0.6667	0.6522	0.2727
21	0.5889	0.7333	0.2500	0.6667
22	0.4889	0.5333	0.3182	0.5652
23	0.6222	0.7111	0.5909	0.4783
24	0.2667	0.1111	0.5455	0.3043
25	0.6556	0.9333	0.5455	0.2174
26	0.4444	0.4444	0.5833	0.2857
27	0.4111	0.4444	0.2609	0.5000
28	0.6556	0.7111	0.5455	0.6522
29	0.7111	0.6222	0.6087	1.0000
30	0.5111	0.3778	0.4583	0.8571
31	0.4444	0.4000	0.4091	0.5652
32	0.7333	0.7778	0.8571	0.5417
33	0.6333	0.5556	0.6522	0.7727
34	0.7841	0.6000	0.9524	1.0000
35	0.6000	0.5111	0.9091	0.4783
36	0.6222	0.8444	0.3913	0.4091
37	0.4091	0.4000	0.4091	0.4286
38	0.5333	0.6667	0.3043	0.5000
39	0.4444	0.6667	0.2609	0.1818
40	0.4556	0.6889	0.1429	0.2917
41	0.4607	0.3556	0.9130	0.1905
42	0.6889	0.7333	0.8636	0.4348
43	0.7111	0.8000	0.8696	0.3636
44	0.6222	0.5556	0.7273	0.6522
45	0.6778	0.7778	0.6087	0.5455
46	0.4111	0.3333	0.3913	0.5909
47	0.3889	0.4444	0.2500	0.4286
48	0.7000	0.6667	0.6818	0.7826
49	0.7000	0.9556	0.4348	0.4545
50	0.5889	0.7778	0.3478	0.4545
51	0.4222	0.3778	0.6667	0.2381
52	0.7000	0.6889	0.7083	0.7143
53	0.4667	0.4000	0.3636	0.6957
54	0.6667	0.7333	0.5652	0.6364
55	0.7556	0.8444	0.6522	0.6818
56	0.5556	0.4667	0.8182	0.4783
57	0.5222	0.6667	0.3333	0.4286
58	0.4556	0.5333	0.2917	0.4762
59	0.4111	0.4667	0.4583	0.2381
60	0.6667	0.5556	0.7391	0.8182
61	0.6111	0.6889	0.5455	0.5217
62	0.8778	0.8667	0.9130	0.8636
63	0.4667	0.5778	0.4545	0.2609
64	0.5281	0.4889	0.2609	0.9048
65	0.5889	0.6444	0.4167	0.6667
66	0.3111	0.2222	0.2727	0.5217
67	0.3889	0.4667	0.4091	0.2174
68	0.6333	0.7333	0.3636	0.6957
69	0.6556	0.8889	0.4583	0.3810
70	0.6333	0.5556	0.7727	0.6522
71	0.7333	0.8000	0.8636	0.4783
72	0.7386	0.6222	0.8182	0.9048
73	0.6207	0.7333	0.3333	0.6667
74	0.4659	0.5111	0.4545	0.3810
75	0.6333	0.5778	0.5000	0.8696
76	0.3103	0.3556	0.2381	0.2857
77	0.3667	0.4222	0.3810	0.2500
78	0.3889	0.4889	0.2609	0.3182
79	0.4667	0.6444	0.3182	0.2609
80	0.6222	0.5556	0.6087	0.7727
81	0.4000	0.6444	0.3182	0.0000
82	0.6000	0.6889	0.3478	0.6818
83	0.6556	0.8444	0.5000	0.4348
84	0.4222	0.3333	0.3478	0.6818
85	0.8333	0.7778	0.7826	1.0000
86	0.6333	0.6000	0.6364	0.6957
87	0.4111	0.4444	0.4545	0.3043
89	0.5556	0.8667	0.2083	0.2857
90	0.6444	0.7778	0.2727	0.7391
91	0.5667	0.5333	0.6364	0.5652
93	0.6889	0.5778	0.9130	0.6818
94	0.5778	0.4444	0.7727	0.6522
95	0.5111	0.4444	0.6522	0.5000
96	0.6000	0.5778	0.6957	0.5455
97	0.4333	0.6222	0.1304	0.3636
98	0.5000	0.4667	0.6957	0.3636
99	0.3667	0.3778	0.3182	0.3913
101	0.4556	0.6444	0.3182	0.2174
102	0.6897	0.6889	0.9524	0.4286
103	0.6111	0.6000	0.7727	0.4783
105	0.6333	0.7556	0.5652	0.4545
106	0.5333	0.5333	0.5833	0.4762
107	0.4111	0.4000	0.4583	0.3810
108	0.5444	0.6889	0.2727	0.5217
