Subject	OverallAcc	Class0Acc	Class1Acc	Class2Acc
1	0.5111	0.5333	0.5652	0.4091
3	0.2667	0.1556	0.3478	0.4091
4	0.6444	0.8667	0.2174	0.6364
5	0.3556	0.5333	0.0952	0.2500
10	0.6000	0.5778	0.5000	0.7619
14	0.4222	0.4222	0.2273	0.6087
16	0.5556	0.6222	0.5909	0.3913
20	0.4778	0.5333	0.4783	0.3636
22	0.5778	0.8444	0.0455	0.5652
23	0.5222	0.4889	0.3182	0.7826
27	0.4556	0.4667	0.3478	0.5455
28	0.5889	0.6444	0.5455	0.5217
32	0.6556	0.8222	0.7143	0.2917
37	0.5114	0.8222	0.2273	0.1429
38	0.4111	0.5556	0.2174	0.3182
39	0.4667	0.6667	0.2609	0.2727
40	0.4667	0.7111	0.0476	0.3750
43	0.7444	0.7778	0.7826	0.6364
46	0.4333	0.4444	0.5217	0.3182
51	0.4778	0.5556	0.5000	0.2857
52	0.6667	0.6444	0.7917	0.5714
55	0.7000	0.8667	0.5217	0.5455
57	0.4333	0.5556	0.2083	0.4286
59	0.4778	0.5556	0.2500	0.5714
60	0.6222	0.5111	0.6087	0.8636
64	0.4607	0.3556	0.3478	0.8095
65	0.4778	0.5778	0.3333	0.4286
66	0.3556	0.3556	0.4091	0.3043
68	0.4222	0.3333	0.4545	0.5652
69	0.6889	0.8667	0.5417	0.4762
71	0.7222	0.8667	0.6364	0.5217
72	0.7386	0.5778	1.0000	0.8095
73	0.6782	0.8000	0.4286	0.6667
75	0.6444	0.6000	0.7273	0.6522
77	0.4111	0.4000	0.5714	0.2917
78	0.3444	0.3556	0.1304	0.5455
79	0.3444	0.4667	0.1364	0.3043
80	0.5889	0.5333	0.4783	0.8182
82	0.5556	0.5778	0.4783	0.5909
83	0.6444	0.9111	0.5909	0.1739
84	0.5000	0.4667	0.5217	0.5455
85	0.8000	0.8444	0.6522	0.8636
90	0.5667	0.6889	0.5455	0.3478
93	0.6222	0.4889	0.8261	0.6818
94	0.6111	0.6889	0.7273	0.3478
95	0.5444	0.5333	0.7826	0.3182
96	0.4556	0.4222	0.7391	0.2273
97	0.4444	0.7333	0.2174	0.0909
101	0.4778	0.5556	0.5909	0.2174
102	0.6552	0.6889	0.7619	0.4762
103	0.5000	0.5778	0.6818	0.1739
106	0.4444	0.4000	0.7500	0.1905
