cluster   0   1   2   3   4   5
subject                        
1        11   6   3   0  24   1
2         0   0   0   0  45   0
3        17   1   0   0   0  27
4        35   0   0   0   8   2
5        44   0   0   0   1   0
6         0   0   0  45   0   0
7         0   1  44   0   0   0
8         0   0   0   0   0  45
9         0   0   0  14  31   0
10       11  26   7   0   0   1
11        0   0   4  37   0   4
12        0   0   0  45   0   0
13        0   0   0  45   0   0
14        2  37   3   0   0   3
15        0   0  22  23   0   0
16        1   0   0  34   1   9
17        0   0   0  26  19   0
18        0   0   0   0   0  45
19        0   0   0  21  24   0
20       23  15   0   0   7   0
21        0   0  10  30   0   5
22       43   0   0   0   0   2
23        1   3   6  11  24   0
24        0   0   0  45   0   0
25        0   0   3  26  16   0
26        0   0   0  35  10   0
27       29  10   0   0   6   0
28        2  43   0   0   0   0
29        0  19  26   0   0   0
30        0   0  33  11   0   1
31        0  13  32   0   0   0
32        2   0   0   0  43   0
33        0  34   9   0   2   0
34        0  45   0   0   0   0
35        0  42   0   0   0   3
36        0   0   4  37   4   0
37        1   0   0   0   0  44
38       28   1   0   1  10   5
39       40   1   0   0   2   2
40       45   0   0   0   0   0
41        0  17   9   8   0  11
42        0  42   3   0   0   0
43       29   0   0   0  16   0
44        0   4  40   0   1   0
45        0   0   0   2  43   0
46        3   0   0   0  42   0
47        0   0  33  12   0   0
48        0   7  38   0   0   0
49        0   0   0   6  39   0
50        0   0   0  36   9   0
51       16   0   0   0  24   5
52        2  43   0   0   0   0
53        0   0   0  45   0   0
54        0  45   0   0   0   0
55        2  14  12  12   2   3
56        0   1  23  17   3   1
57        1   0   0   0  44   0
58        0   0   0  44   1   0
59        1  24  12   2   4   2
60       32   0   0   0  13   0
61        0   0   1  32  11   1
62        0  33  12   0   0   0
63        0   0   0  11  34   0
64        9   2   3   8  17   6
65        7  24   5   0   0   9
66        1   9  32   3   0   0
67        0   0   0   5  40   0
68       45   0   0   0   0   0
69        7   0   0   0  38   0
70        0   1  44   0   0   0
71       29   3   0   0   8   5
72        1  38   0   0   6   0
73        1   0   0   1  43   0
74        0   0   3  41   1   0
75       29  16   0   0   0   0
76        0   0   1  44   0   0
77        6  34   4   0   1   0
78       17  21   1   0   0   6
79       10   9   1   3   0  22
80       10   0   1   1  11  22
81        0   0   0   0   0  45
82        1  40   4   0   0   0
83        1   0   1  13  29   1
84        1  44   0   0   0   0
85       33  12   0   0   0   0
86        0   0   2  41   0   2
87        0   0   0   3  42   0
89        0   0   0   1  43   1
90       27  14   0   0   1   3
91        0   0   0  16  29   0
93        1  38   1   0   5   0
94        1  44   0   0   0   0
95       41   0   0   0   4   0
96        6   1   2   8  12  16
97       45   0   0   0   0   0
98        0   2  39   2   0   2
99        0   0   3  42   0   0
101      35   0   0   0   0  10
102      18   0   0   0  27   0
103      17  27   0   0   1   0
105       0   8  35   0   2   0
106       1  43   1   0   0   0
107       0   1  30  14   0   0
108       0   0  21  23   1   0
